EOTV.ElapsedDays,EOTV.ElapsedSecs,EOTV.RAPTank1.FuelMass,REV,AOL,EOTV.EarthMJ2000Eq.AOP,EOTV.Earth.SMA,EOTV.EarthMJ2000Eq.RAAN,EOTV.Earth.ECC,EOTV.EarthMJ2000Eq.INC,EOTV.Earth.OrbitPeriod,EOTV.HET1.ThrustDirection1,EOTV.HET1.ThrustDirection2,EOTV.HET1.ThrustDirection3,EOTV.EOTVSolarArrays.ThrustPowerAvailable,EOTV.Earth.BetaAngle,EOTV.TotalMass
0,0,3600,0,0,314.1905515,6878.136,306.6148022,0.01,28.5,5676.976793,1,0,0,200866.0144,-8.64301572,24096
0.000694444,59.99999988,3600,0,0,313.9188165,6877.8594,306.6083699,0.009961558,28.49792904,5676.634352,1,0,0,200864.9212,-8.646977976,24096
0.002095262,181.0306258,3600,0,0,313.393815,6877.363099,306.5937933,0.009903181,28.49419064,5676.019931,1,0,0,200862.7259,-8.655365245,24096
0.003578684,309.1982811,3600,0,0,312.9159575,6876.957484,306.5764005,0.009861621,28.4911029,5675.517795,1,0,0,200860.4514,-8.664545287,24096
0.00506848,437.9166372,3600,0,0,312.5451136,6876.703538,306.5575109,0.00982905,28.48913102,5675.203428,1,0,0,200858.2628,-8.673708816,24096
0.006563802,567.1124867,3600,0,0,312.2762417,6876.62099,306.5378439,0.009793403,28.48843218,5675.10124,1,0,0,200856.2053,-8.68248362,24096
0.008063089,696.6509289,3600,0,0,312.0716479,6876.715676,306.5181941,0.009744938,28.48906015,5675.218453,1,0,0,200854.3224,-8.690524191,24096
0.009565182,826.4316909,3600,0,0,311.8697194,6876.978913,306.4993502,0.009678375,28.49095934,5675.544323,1,0,0,200852.6536,-8.697547599,24096
0.011068856,956.3491526,3600,0,0,311.597823,6877.388428,306.4820334,0.009594173,28.4939704,5676.051287,1,0,0,200851.2335,-8.703354289,24096
0.012572423,1086.257361,3600,0,0,311.1871993,6877.910259,306.4668411,0.009498767,28.49784315,5676.697317,1,0,0,200850.0916,-8.70784328,24096
0.014074357,1216.024454,3600,0,0,310.5882529,6878.501988,306.45419,0.009403631,28.50225982,5677.429909,1,0,0,200849.2506,-8.711022259,24096
0.015573198,1345.524277,3600,0,0,309.7843311,6879.116516,306.4442864,0.009323345,28.50686329,5678.190763,1,0,0,200848.7259,-8.713004058,24096
0.017067583,1474.639202,3600,0,0,308.8006596,6879.706083,306.4371145,0.009272884,28.51128793,5678.920742,1,0,0,200848.5255,-8.713994515,24096
0.018556752,1603.303402,3600,0,0,307.7042346,6880.22623,306.432444,0.009264619,28.51519097,5679.564795,1,0,0,200848.6501,-8.71427277,24096
0.020040022,1731.457889,3600,0,0,306.5934757,6880.638777,306.4298589,0.009305757,28.5182769,5680.075634,1,0,0,200849.0933,-8.714166084,24096
0.021517102,1859.077649,3600,0,0,305.5782397,6880.914375,306.4287957,0.009396828,28.52031868,5680.416903,1,0,0,200849.8427,-8.714023469,24096
0.022988171,1986.177949,3600,0,0,304.7570246,6881.03409,306.42859,0.009531651,28.52117132,5680.565146,1,0,0,200850.88,-8.714189526,24096
0.024453572,2112.788636,3600,0,0,304.1990048,6880.990188,306.428526,0.009698649,28.52077842,5680.510782,1,0,0,200852.1822,-8.714980791,24096
0.025914107,2238.978806,3600,0,0,303.9350541,6880.786332,306.4278859,0.009883064,28.51917338,5680.258348,1,0,0,200853.7225,-8.716665675,24096
0.027370678,2364.826537,3600,0,0,303.958481,6880.437218,306.4259952,0.010069359,28.51647511,5679.826051,1,0,0,200855.4701,-8.719448172,24096
0.028824326,2490.421791,3600,0,0,304.2318249,6879.967783,306.4222654,0.01024341,28.51287986,5679.244779,1,0,0,200857.3915,-8.723455565,24096
0.030276227,2615.866003,3600,0,0,304.6963901,6879.411923,306.4162308,0.010394218,28.50864892,5678.556521,1,0,0,200859.4505,-8.728730396,24096
0.031727493,2741.255386,3600,0,0,305.2819604,6878.810798,306.4075807,0.010515045,28.50409337,5677.812245,1,0,0,200861.6085,-8.73522596,24096
0.033179258,2866.687848,3600,0,0,305.9159363,6878.210466,306.3961845,0.010604038,28.49955485,5677.068986,1,0,0,200863.8253,-8.742807182,24096
0.034632297,2992.230453,3600,0,0,306.5317509,6877.659096,306.3821109,0.010664268,28.49538438,5676.386373,1,0,0,200866.0585,-8.751254357,24096
0.036087183,3117.932613,3600,0,0,307.0772387,6877.203308,306.3656341,0.010703192,28.49191667,5675.822114,1,0,0,200868.2648,-8.76027523,24096
0.037544044,3243.805414,3600,0,0,307.5222402,6876.884179,306.3472275,0.01073141,28.48944343,5675.427049,1,0,0,200870.3999,-8.769521773,24096
0.039002822,3369.843798,3600,0,0,307.8643532,6876.732965,306.3275353,0.010760736,28.48818582,5675.239856,1,0,0,200872.4202,-8.778616769,24096
0.040462919,3495.996159,3600,0,0,308.1301977,6876.767359,306.3073321,0.010801763,28.48827108,5675.282433,1,0,0,200874.2832,-8.787182329,24096
0.041923607,3622.199622,3600,0,0,308.3705342,6876.98871,306.2874554,0.010861414,28.48971507,5675.556451,1,0,0,200875.9493,-8.794876354,24096
0.043384089,3748.385315,3600,0,0,308.6487335,6877.381053,306.2687298,0.010941101,28.49241614,5676.042157,1,0,0,200877.3829,-8.801425653,24096
0.044843575,3874.484903,3600,0,0,309.0254406,6877.912191,306.2518897,0.011036081,28.49616117,5676.699708,1,0,0,200878.5538,-8.806653599,24096
0.046301675,4000.464686,3600,0,0,309.5441936,6878.536911,306.2375051,0.011136266,28.50064498,5677.473147,1,0,0,200879.4377,-8.810499031,24096
0.046732948,4037.72671,3600,0,0,309.7282389,6878.732017,306.233777,0.011164982,28.50206066,5677.714707,1,0,0,200879.6415,-8.811377632,24096
0.047427392,4097.72671,3599.91922,0,313.6230767,310.0557181,6879.146129,306.2288382,0.011222577,28.50415709,5678.227427,0.729084909,-0.684423258,0,200879.9127,-8.812467369,24095.91922
